Country,Region,Happiness.Rank,Happiness.Score,Economy.GDP.per.Capita.,Family,Health.Life.Expectancy,Freedom,Generosity,Trust.Government.Corruption,Region,Surface area (km2),Population in thousands (2017),Population density (per km2 2017),Sex ratio (m per 100 f 2017),Population age distribution <14 (in %),Population age distribution >60 (in %),Population growth rate (average annual %),International migrant stock (% of total pop),GDP: Gross domestic product (million current US$),GDP growth rate (annual % const. 2005 prices),GDP per capita (current US$),Economy: Agriculture (% of GVA),Economy: Industry (% of GVA),Economy: Services and other activity (% of GVA),International trade: Exports (million US$),International trade: Imports (million US$),International trade: Balance (million US$),Employment: Agriculture (% of employed),Employment: Industry (% of employed),Employment: Services (% of employed),Unemployment (% of labour force),Fertility rate total (live births per woman),Life expectancy at birth - females,Life expectancy at birth - males,Infant mortality rate (per 1000 live births),Urban population (% of total population),Urban population growth rate (average annual %),Mobile-cellular subscriptions (per 100 inhabitants),Individuals using the Internet (per 100 inhabitants),Threatened species (number),CO2 emission estimates (tons per capita),Energy supply per capita (Gigajoules),Health: Total expenditure (% of GDP),Health: Physicians (per 1000 pop.),Education: Government expenditure (% of GDP),Education Primary gross enrol ratio (females per 100 pop),Education Primary gross enrol ratio (males per 100 pop),Education Secondary gross enrol ratio (females per 100 pop),Education Secondary gross enrol ratio (males per 100 pop),Education Tertiary gross enrol ratio (females per 100 pop),Education Tertiary gross enrol ratio (males per 100 pop),Seats held by women in national parliaments,Forested area (% of land area),Refugees and others of concern to UNHCR (in thousands)
Georgia,Central and Eastern Europe,125,4.285999775,0.950612664,0.570614934,0.649546981,0.309410036,0.054008815,0.251666635,WesternAsia,69700,3912,56.3,91.4,19.2,20.8,-1.4,4.2,13965,2.8,3491.4,9,24.1,66.9,2114,7236,-5122,44.7,11.2,44.1,11.4,2,77,68.5,11.2,53.6,-0.1,129,45.2,120,2.2,47,7.4,4.8,2,118.2,115.5,103.8,103.6,47.8,39.2,16,40.6,274.1
Germany,Western Europe,16,6.951000214,1.487923384,1.472520351,0.798950732,0.562511384,0.33626917,0.276731938,WesternEurope,357376,82114,235.6,97,13.1,28,0.2,14.9,3363600,1.7,41686.2,0.6,30.5,68.9,1340752,1060672,280080,1.4,27.5,71.2,4.2,1.4,82.9,77.9,3.4,75.3,0.2,116.7,87.6,116,8.9,158,11.3,4.1,5,104.7,105.2,99.6,105.6,66.8,69.7,37,32.7,1052.1
Ghana,Sub-Saharan Africa,131,4.119999886,0.667224824,0.873664737,0.295637727,0.423026294,0.256923944,0.02533637,WesternAfrica,238537,28834,126.7,99.3,38.5,5.3,2.4,1.5,37156,3.9,1355.6,19,26.9,54.1,7221,11939,-4718,41.9,14.2,43.8,5.9,4.2,62.6,60.7,46.5,54,3.4,129.7,23.5,238,0.6,14,3.6,-,6.2,108.7,107.3,61.1,63.1,13.2,19.1,12.7,40.9,27.3
Greece,Western Europe,87,5.227000237,1.289487481,1.239414573,0.810198903,0.095731251,0,0.043289777,SouthernEurope,131957,11160,86.6,96.9,14.2,26.5,-0.4,11.3,194860,-0.2,17788,4.1,15.7,80.2,27811,47595,-19784,12.9,15,72.1,23,1.3,83.3,78,3.3,78,0.5,114,66.8,374,6.1,89,8.1,6.3,-,97.1,98.1,103.4,109.5,113.7,114,18.3,31.2,94.7
Guatemala,Latin America and Caribbean,29,6.453999996,0.872001946,1.255585194,0.54023999,0.531310618,0.283488393,0.077223279,CentralAmerica,108889,16914,157.8,96.9,35.1,6.9,2.1,0.5,63794,4.1,3903.5,10.8,27.2,62,10572,16987,-6415,32,18.5,49.4,2.4,3.2,75.6,69.2,26.9,51.6,3.4,111.5,27.1,290,1.1,32,6.2,-,3,99.8,103.8,63.3,67.9,23.5,20.2,12.7,33.4,1.8
Guinea,Sub-Saharan Africa,149,3.506999969,0.24454993,0.791244686,0.194129139,0.348587513,0.264815092,0.110937618,WesternAfrica,245857,12717,51.8,100.6,42.3,5.2,2.3,1.8,8875,0.1,703.9,19.8,32.8,47.4,1753,2082,-329,69.7,7.4,22.9,6.8,5.1,58.4,57.4,65.7,37.2,3.8,87.2,4.7,185,0.2,12,5.6,-,3.2,83.8,98.6,30.7,46.8,6.7,14.9,21.9,26,9.2
Haiti,Latin America and Caribbean,145,3.602999926,0.368610263,0.640449822,0.27732113,0.030369857,0.489203781,0.09987215,Caribbean,27750,10981,398.4,97.8,33,7.3,1.4,0.4,8501,1.7,793.7,16.7,38.2,45.1,984,3316,-2332,46.9,12.6,40.6,12.9,3.1,64.4,60.2,46.9,58.6,3.8,69.9,12.2,205,0.3,16,7.6,-,-,-,-,-,-,-,-,2.6,3.5,1.9
Honduras,Latin America and Caribbean,91,5.181000233,0.730573118,1.143944979,0.58256948,0.34807986,0.236188874,0.073345453,CentralAmerica,112492,9265,82.8,99.4,31.6,7,1.8,0.3,20365,3.6,2521.9,13,25.1,61.9,3657,8448,-4791,29.4,21.6,49,5.6,2.6,75.4,70.4,27.8,54.7,3.1,95.5,20.4,301,1.2,28,8.7,-,5.9,110.1,111.3,77,64.8,25.4,18.8,25.8,42.1,176.2
Hong Kong S.A.R. China,Eastern Asia,71,5.472000122,1.551674843,1.262790918,0.943062425,0.490968645,0.374465793,0.293933749,EasternAsia,1106,7365,7014.2,85.1,11.5,23.5,0.6,38.9,309236,2.4,42431,0.1,7.2,92.7,516588,547124,-30536,0.2,14.9,84.9,3.5,1.2,86.4,80.5,1.6,100,0.7,228.8,84.9,64,6.4,83,-,-,3.3,-,-,98.8,102.8,73.7,63.5,-,-,2.5
Hungary,Central and Eastern Europe,75,5.323999882,1.286011934,1.343133092,0.687763453,0.175863519,0.078401662,0.036636937,EasternEurope,93024,9722,107.4,90.7,14.3,26,-0.3,4.6,121715,3.1,12350.6,4.1,31.9,64,103071,92044,11027,4.3,29.8,65.9,4.5,1.3,78.8,71.7,4.9,71.2,0.5,118.9,72.8,66,4.3,97,7.4,3.3,4.7,101.3,101.9,105.3,105.1,56.7,45.3,10.1,22.8,14.4
Chile,Latin America and Caribbean,20,6.65199995,1.25278461,1.284024954,0.819479704,0.376895279,0.326662421,0.082287982,SouthAmerica,756102,18055,24.3,98.2,20.3,16,0.9,2.6,240796,2.3,13416.2,3.9,32.8,63.3,59884,58804,1080,9.6,22.9,67.5,6.8,1.8,81.3,76.2,7.4,89.5,1.1,129.5,64.3,197,4.7,85,7.8,-,4.9,100,103.3,101.3,100,94.4,83,15.8,23.4,3.7
China,Eastern Asia,79,5.272999763,1.081165791,1.160837412,0.741415501,0.472787708,0.028806841,0.022794275,EasternAsia,9600000,1409517,150.1,106.3,17.7,16.2,0.5,0.1,11158457,6.9,8109.1,9.2,41.1,49.7,2118981,1588696,530285,27,23.9,49.1,4.6,1.6,77.2,74.2,11.6,55.6,3,93.2,50.3,1080,7.5,87,5.5,1.5,-,104.3,104,95.6,93.2,47.3,39.9,23.7,22,301.7
Iceland,Western Europe,3,7.504000187,1.48063302,1.610574007,0.833552122,0.627162635,0.475540221,0.153526559,NorthernEurope,103000,335,3.3,100.7,20.1,20.1,0.6,11.4,16780,4.2,50936,6.4,24,69.7,4450,5703,-1254,4,17.7,78.2,3.6,2,83.8,80.6,1.6,94.1,1.3,114,98.2,27,6.1,952,8.9,3.8,7.8,98.6,99.7,121,116.3,103.1,60.2,47.6,0.5,0.5
India,Southern Asia,122,4.315000057,0.792221248,0.754372597,0.455427617,0.469987005,0.231538489,0.092226885,SouthernAsia,3287263,1339180,450.4,107.6,27.8,9.4,1.2,0.4,2116239,7.6,1614.2,17,29.7,53.2,260327,356705,-96378,44.3,24.5,31.2,3.4,2.4,69.1,66.2,41.3,32.7,2.4,78.8,26,1052,1.7,27,4.7,0.7,3.8,115.1,102.8,74.5,73.5,26.7,27,11.8,23.7,211.1
Indonesia,Southeastern Asia,81,5.262000084,0.995538592,1.274444699,0.492345721,0.443323463,0.611704588,0.015317135,South-easternAsia,1910931,263991,145.7,101.4,27.4,8.6,1.2,0.1,861934,4.8,3346.5,14,41.3,44.7,144490,135653,8837,31.4,22.4,46.2,5.8,2.4,70.7,66.6,25,53.7,2.7,132.4,22,1281,1.8,35,2.8,0.2,3.6,104.4,107.2,86,85.7,25.7,22.9,19.8,50.6,13.8
Iran,Middle East and Northern Africa,108,4.691999912,1.156873107,0.711551249,0.639333189,0.249322608,0.387242913,0.048761073,SouthernAsia,1628750,81163,49.8,101.2,23.7,8.8,1.2,3.4,398563,0.4,5038.1,8.6,39.1,52.3,45627,35333,10294,16.6,32.5,50.9,11.3,1.7,76.2,74,14.8,73.4,2.1,93.4,44.1,134,8.3,127,7.5,1.5,2.9,111.7,106.3,88.9,89.4,67.7,75.9,5.9,6.6,978.3
Iraq,Middle East and Northern Africa,117,4.497000217,1.102710485,0.978613198,0.50118047,0.288555533,0.199637264,0.107215755,WesternAsia,435052,38275,88.1,102.5,40.4,5,3.2,1,164234,-2.4,4509,4.6,58,37.4,27341,45831,-18490,20.4,21,58.6,16.1,4.6,71.4,67,32.1,69.5,3,93.8,17.2,72,4.8,58,5.5,0.9,-,-,-,-,-,-,-,25.3,1.9,4736.2
Ireland,Western Europe,15,6.977000237,1.535706639,1.558231115,0.809782624,0.573110342,0.427858323,0.298388153,NorthernEurope,69797,4762,69.1,98.4,21.6,19.1,0.3,15.9,283716,26.3,60513.6,1,41.7,57.3,129315,76997,52318,4.8,17.7,77.4,7.6,2,83,78.7,3.4,63.2,1.6,103.7,80.1,50,7.3,114,7.8,2.8,5.3,102,100.9,129.4,125.6,87.6,80.1,22.2,10.9,10.5
Israel,Middle East and Northern Africa,11,7.212999821,1.375382423,1.376289964,0.838404,0.405988604,0.330082655,0.0852421,WesternAsia,22072,8322,384.5,98.7,27.9,16.1,1.6,24.9,299413,2.5,37129.4,1.3,21.2,77.5,60571,65803,-5232,1,17.9,81,5.9,3,83.7,80,3.4,92.1,1.4,133.5,78.9,174,8.1,119,7.8,3.6,5.8,105.1,104.4,103,102,75.5,54.6,27.5,7.5,44.7
Italy,Western Europe,48,5.964000225,1.395066619,1.444923282,0.853144348,0.256450713,0.172789648,0.028028091,SouthernEurope,302073,59360,201.8,95.1,13.5,29.4,-0.1,9.7,1821580,0.7,30462.4,2.2,23.5,74.2,461529,404578,56951,3.5,27.1,69.4,11.4,1.4,84.7,79.9,3,69,0.4,151.3,65.6,359,5.4,103,9.2,3.9,4.1,100.6,101.4,101.7,104.1,72.2,53.2,31,31.4,216.7
Jamaica,Latin America and Caribbean,76,5.31099987,0.925579309,1.368218064,0.641022384,0.474307239,0.233818337,0.055267781,Caribbean,10990,2890,266.9,99,22.7,13.6,0.4,0.8,14262,1,5105.8,7.1,22.3,70.5,1202,4767,-3565,17.9,15.3,66.8,13.1,2.1,77.9,73.1,15,54.8,0.9,111.5,43.2,311,2.7,37,5.4,-,5.5,-,-,85.1,79.2,34.6,20.1,17.5,31,~0.0
Japan,Eastern Asia,51,5.920000076,1.416915178,1.436337829,0.913475871,0.505625546,0.120572768,0.163760737,EasternAsia,377930,127484,349.7,95.4,12.9,33.4,-0.1,1.6,4383076,1.2,34628.7,1.2,26.4,72.4,644932,606924,38008,3.7,26.5,69.8,3,1.4,86.4,80,2.2,93.5,0.6,125,93.3,404,9.6,146,10.2,2.3,3.6,101.2,101.3,101.9,101.6,60.9,65.7,9.3,68.5,19.4
Jordan,Middle East and Northern Africa,74,5.335999966,0.991012394,1.239088893,0.604590058,0.418421149,0.17217046,0.119803272,WesternAsia,89318,9702,109.3,102.6,35.5,5.7,4.9,41,37517,2.4,4940.1,4,27.7,68.4,7509,19207,-11698,2,17.8,80.2,13.4,3.6,75.5,72.2,17.1,83.7,3.8,179.4,53.4,113,3.6,47,7.5,2.6,-,97.6,97.1,84.8,80.2,47.3,42.5,15.4,1.1,721.4
Kazakhstan,Central and Eastern Europe,60,5.818999767,1.28455627,1.384369016,0.606041551,0.437454283,0.201964423,0.119282886,CentralAsia,2724902,18204,6.7,93.9,27.9,11.1,1.6,20.1,181754,1.2,10312.1,5,32.5,62.5,36775,25175,11601,18.1,20.4,61.6,5.6,2.7,73.9,64.3,14.1,53.2,0.9,187.2,72.9,82,14.3,193,4.4,3.3,2.8,109.1,108.8,113.5,110.6,51.3,41.4,27.1,1.2,9.2
Kenya,Sub-Saharan Africa,112,4.552999973,0.560479462,1.067950726,0.30998835,0.452763766,0.444860309,0.064641319,EasternAfrica,591958,49700,87.3,98.8,40.5,4.3,2.7,2.4,63399,5.6,1376.7,32,19,49,5688,14109,-8420,61.9,8.6,29.5,10.8,4.1,67.8,63,39.4,25.6,4.3,80.7,45.6,480,0.3,20,5.7,0.2,5.3,108.7,109.3,-,-,-,-,19.4,7.7,582.4
Kuwait,Middle East and Northern Africa,39,6.105000019,1.632952452,1.259698749,0.632105708,0.496337593,0.228289798,0.21515955,WesternAsia,17818,4136,232.1,134.9,21.1,4.9,5.4,73.6,114054,1.8,29303.9,0.6,48.7,50.7,46238,30825,15413,2.6,27.3,70.1,2.2,2,75.5,73.5,8.4,98.3,3.6,231.8,82.1,49,25.4,380,3,1.9,-,103,102.4,102.7,88.2,33.1,20.4,3.1,0.4,94.7
Kyrgyzstan,Central and Eastern Europe,98,5.004000187,0.596220076,1.394238591,0.553457797,0.454943389,0.428580374,0.039439179,CentralAsia,199949,6045,31.5,98.4,31.8,7.6,1.6,3.4,6572,3.5,1106.4,15.4,25.9,58.7,1423,3844,-2421,29.2,21,49.8,7.7,3.1,74.3,66.4,19.6,35.7,1.6,132.8,30.2,44,1.7,27,6.5,1.9,5.5,106.8,107.9,92.8,91.4,53.3,40.8,19.2,3.4,8.2
Latvia,Southeastern Asia,54,5.849999905,1.260748625,1.404714942,0.638566971,0.325707912,0.153074786,0.073842727,NorthernEurope,64573,1950,31.3,84.9,15.4,26.2,-1.2,13.4,27004,2.7,13704.1,3.2,23.3,73.5,11433,13596,-2163,7.3,23,69.7,9.6,1.5,78.7,68.8,6.5,67.4,-0.7,127,79.2,30,3.5,99,5.9,3.2,5.3,99.2,100.1,119.1,119.9,79.2,55.5,16,54,252.6
Lebanon,Central and Eastern Europe,88,5.224999905,1.074987531,1.129624248,0.735081077,0.288515985,0.264450759,0.03751383,WesternAsia,10452,6082,594.6,100.6,23.1,12,6,34.1,50149,1.5,8571.4,3.2,19.6,77.2,3402,20409,-17007,8.2,22.4,69.4,7,1.7,80.9,77.3,9.2,87.8,3.2,87.1,74,87,4.3,55,6.4,2.4,2.6,88.3,96.6,61,61.5,45.7,39.5,3.1,13.4,1054.2
Lesotho,Middle East and Northern Africa,139,3.808000088,0.521021247,1.190095186,0,0.390661299,0.157497272,0.11909464,SouthernAfrica,30355,2233,73.6,94.4,35.4,6.7,1.3,0.3,2008,2.8,940.6,7.7,31.3,61,648,1727,-1079,39.7,20,40.3,27.5,3.3,54.7,50.1,59.8,27.3,3,105.5,16.1,18,1.2,28,10.6,-,-,104,107,62,45.7,11.7,8,25,1.6,~0.0
Liberia,Sub-Saharan Africa,148,3.532999992,0.119041793,0.872117937,0.229918197,0.332881182,0.266549885,0.038948249,WesternAfrica,111369,4732,49.1,101.8,41.8,4.9,2.6,2.5,2053,0.3,455.9,70.8,11.4,17.9,641,727,-86,45.3,11.7,43,4.1,4.8,61.6,59.8,59,49.7,3.4,81.1,5.9,172,0.2,19,10,-,2.8,89.1,98.5,32.5,41.9,9,14.2,12.3,43.7,22.1
Libya,Middle East and Northern Africa,68,5.525000095,1.101803064,1.35756433,0.52016902,0.46573323,0.152073666,0.09261021,NorthernAfrica,1676198,6375,3.6,101.7,28.2,6.6,0.2,12.3,34457,-10.2,5488.2,0.9,67.1,32,4615,8876,-4261,19.1,25.1,55.8,19.2,2.4,74.4,68.8,24.3,78.6,1.1,157,19,63,9.1,119,5,2.1,-,-,-,-,-,-,-,16,0.1,472.5
Lithuania,Central and Eastern Europe,52,5.90199995,1.314582348,1.473516107,0.62894994,0.234231785,0.010164657,0.011865643,NorthernEurope,65286,2890,46.1,85.4,14.8,25.3,-1.3,4.7,41402,1.8,14383.7,3.6,29.8,66.5,25025,27501,-2476,8.7,24.5,66.8,9.2,1.6,79.3,68.5,4.4,66.5,-0.5,139.5,71.4,26,4.4,98,6.6,4.3,4.6,103.7,103.2,106.1,110.3,82,55.8,21.3,34.8,4.7
Luxembourg,Western Europe,18,6.862999916,1.741943598,1.457583666,0.845089495,0.596627891,0.283180982,0.318834424,WesternEurope,2586,584,225.3,101,16.4,19.6,2.2,44,56802,3.5,100160.8,0.2,12.1,87.7,12838,19124,-6285,1.3,10.2,88.5,5.6,1.5,83.4,78.8,3.4,90.2,1.7,148.5,97.3,11,17.3,290,6.9,2.9,4.1,97.3,96.9,103.5,101.1,20.7,18.2,28.3,33.5,4.2
Madagascar,Sub-Saharan Africa,144,3.644000053,0.305808693,0.913020372,0.375223309,0.189196765,0.20873253,0.067231975,EasternAfrica,587295,25571,44,99.5,41,4.8,2.7,0.1,9739,3.1,401.8,24.9,18.4,56.7,2256,2965,-709,74.2,9.4,16.5,2.3,4.4,66,63,36.8,35.1,4.7,46,4.2,1324,0.1,7,3,0.1,2.1,148.9,148.9,38.1,38.8,4.6,5,19.2,21.5,0.1
Malawi,Sub-Saharan Africa,136,3.970000029,0.233442038,0.512568831,0.315089583,0.466914654,0.28717047,0.072711654,EasternAfrica,118484,18622,197.5,98.2,44,4.3,2.9,1.2,6420,3,372.9,26.1,16.6,57.3,875,1649,-774,69.9,4.8,25.4,6.8,4.9,63.1,58.2,66.5,16.3,3.8,35.3,9.3,176,0.1,6,11.4,-,5.6,147,144,41,45.8,0.6,1,16.7,33.6,25.7
Malaysia,Southeastern Asia,42,6.084000111,1.29121542,1.284646034,0.618784428,0.402264982,0.41660893,0.065600708,South-easternAsia,330323,31624,96.3,106.7,24.3,9.7,1.8,8.3,296284,5,9768.4,8.6,39.6,51.8,189414,168375,21039,11.8,27.3,60.9,3.3,2.1,77.1,72.6,6.5,74.7,2.7,143.9,71.1,1272,8.1,118,4.2,1.3,5,101.9,101.7,80.7,74.6,31.8,20.8,10.4,67.5,238.6
Mali,Sub-Saharan Africa,127,4.190000057,0.476180494,1.281473398,0.169365674,0.306613743,0.183354199,0.104970247,WesternAfrica,1240192,18542,15.2,100.2,47.7,4,2.9,2.1,13100,7.6,744.3,39.9,19.6,40.5,3030,2510,520,56.7,14.7,28.6,8.1,6.4,56.9,55.6,78.5,39.9,5.1,139.6,10.3,42,0.1,4,7,-,3.7,72.1,79.3,36.8,45.6,4.1,9.6,8.8,3.9,90.8
Malta,Western Europe,27,6.52699995,1.343279839,1.488411665,0.821944237,0.588767052,0.574730575,0.153066069,SouthernEurope,315,431,1346.4,100.9,14.4,26.1,0.5,9.9,9747,6.2,23280.7,1.4,15,83.6,4039,7182,-3143,1.2,20.9,77.9,5.4,1.4,82,78.6,4.8,95.4,0.5,129.3,76.2,39,5.6,78,9.7,3.9,7.8,104.7,102.2,98.1,91.7,55.2,40.3,12.5,1.1,8.1
Mauritania,Sub-Saharan Africa,123,4.291999817,0.648457289,1.27203083,0.28534928,0.096098043,0.201870024,0.136957005,WesternAfrica,1030700,4420,4.3,101.6,39.9,5,2.9,3.4,5023,1.2,1235,20.9,41.7,37.4,1623,2174,-551,40.3,9.5,50.2,12,4.9,64.1,61.2,68,59.9,3.5,89.3,15.2,86,0.7,13,3.8,-,2.9,105,100,29.5,31.7,3.6,7.1,25.2,0.2,69
Mauritius,Sub-Saharan Africa,64,5.629000187,1.189395547,1.20956099,0.638007462,0.491247326,0.360933751,0.042181555,EasternAfrica,1969,1265,623.2,97.9,18.4,16.6,0.2,2.2,11511,3.5,9040.9,2.9,22.7,74.4,2194,4655,-2461,7.3,25.2,67.5,7.6,1.5,77.7,70.7,12,39.7,-0.1,140.6,50.1,257,3.3,51,4.8,-,4.9,103.9,102.2,97.9,93.6,41.7,31.7,11.6,19,-
Mexico,Latin America and Caribbean,25,6.578000069,1.153183818,1.21086216,0.709978998,0.412730008,0.120990433,0.132774115,CentralAmerica,1964375,129163,66.4,99.2,26.7,10.1,1.4,0.9,1140724,2.5,8980.9,3.6,36,60.4,373883,387064,-13181,13.4,25.2,61.3,4.1,2.3,78.9,74,18.8,79.2,1.6,85.3,57.4,1162,3.8,62,6.3,2.1,5.3,103.2,103.6,93.5,87.7,30,29.9,42.6,34,5.9
Moldova,Central and Eastern Europe,56,5.837999821,0.72887063,1.251825571,0.589465201,0.240729049,0.208779126,0.010091286,EasternEurope,33846,4051,123.3,92.2,15.7,17.6,-0.1,3.5,6475,-0.7,1591.4,13.4,20.8,65.8,2045,4020,-1975,28.8,30.9,40.3,5,1.3,75.2,66.7,14.3,45,-0.7,108,49.8,35,1.2,23,10.3,2.5,7.5,91.9,92.9,86.5,85.8,47.4,35.3,22.8,12.3,5.5
Montenegro,Central and Eastern Europe,83,5.236999989,1.121129036,1.238376498,0.667464674,0.194989055,0.197911024,0.088174194,SouthernEurope,13812,629,46.8,97.4,18.1,21.3,0.1,13.2,4020,4.5,6424.1,9.8,17.5,72.6,354,2263,-1908,7.5,17.3,75.2,17.4,1.7,78.8,74,4.1,64,0.3,162.2,64.6,98,3.5,64,6.4,2.3,-,93.3,95.2,90.3,90.4,-,-,23.5,61.5,16
Myanmar,Southeastern Asia,114,4.545000076,0.36711055,1.123235941,0.397522569,0.514492035,0.838075161,0.188816205,South-easternAsia,676577,53371,81.7,95.5,26.8,9.4,0.9,0.1,62601,7.3,1161.5,26.7,34.5,38.7,11673,15696,-4023,23.6,14.6,61.7,0.8,2.3,68.3,63.7,45,34.1,2.5,76.7,21.8,321,0.4,15,2.3,0.6,-,98.3,101,52,50.6,14.9,12.1,10.2,45.3,1392.1
Namibia,Sub-Saharan Africa,111,4.573999882,0.964434326,1.098470807,0.338611811,0.520303547,0.077133745,0.093146972,SouthernAfrica,824116,2534,3.1,94.7,36.7,5.5,2.2,3.8,11491,5.3,4673.6,6.6,30.6,62.8,4816,6721,-1905,29.1,14.6,56.3,24.9,3.6,64.3,59.1,36.4,46.7,4.2,102.1,22.3,115,1.6,31,-,-,-,109.5,113.3,-,-,-,-,41.3,8.5,4.8
Nepal,Southern Asia,99,4.961999893,0.479820192,1.179283261,0.504130781,0.440305948,0.394096166,0.072975546,SouthernAsia,147181,29305,204.4,94.3,30.9,8.8,1.2,1.8,20658,2.7,724.5,31.8,14.9,53.3,703,5249,-4547,72.6,10.9,16.5,3,2.3,70.4,67.4,32.8,18.6,3.2,96.8,17.6,104,0.3,19,5.8,-,3.7,141.2,130.7,72.2,67.1,15.1,14.8,29.6,25.4,30.7
Netherlands,Western Europe,6,7.376999855,1.503944635,1.428939223,0.810696125,0.585384488,0.47048983,0.282661825,WesternEurope,41542,17036,505.2,99,16.4,25,0.3,11.7,750318,2,44332.1,1.8,20,78.2,511714,420969,90745,2.2,15.9,81.9,5.6,1.7,83.1,79.4,3.5,90.5,1,123.5,93.1,40,9.9,178,10.9,3.4,5.5,104.4,105,136.3,134.7,82.5,74.7,38,11.1,116.3
New Zealand,Australia and New Zealand,8,7.31400013,1.405706048,1.548195124,0.816759706,0.61406213,0.500005126,0.382816702,Oceania,268107,4706,17.9,96.7,19.8,20.8,1.1,23,173417,3.1,38294.3,6.5,23,70.6,33833,36423,-2589,5.9,21.4,72.6,5.5,2,83.1,79.5,4.4,86.3,1,121.8,88.2,199,7.7,207,11,2.9,6.4,99.1,99.6,119.9,113.4,96.7,71.6,34.2,38.6,1.7
Nicaragua,Latin America and Caribbean,43,6.071000099,0.737299204,1.28721571,0.653095961,0.447551847,0.301674217,0.130687982,CentralAmerica,130373,6218,51.7,97.2,29,8.4,1.2,0.7,12693,4.9,2086.9,18.8,26.8,54.4,2225,5927,-3701,24.1,14.5,61.4,6.1,2.3,77.5,71.4,20,58.8,2,116.1,19.7,144,0.8,26,9,0.9,-,-,-,-,-,-,-,45.7,25.9,0.6
Niger,Sub-Saharan Africa,135,4.027999878,0.161925331,0.993025005,0.268505007,0.363658696,0.228673846,0.138572946,WesternAfrica,1267000,21477,17,100.6,50.2,4.2,3.8,1,7143,3.6,359,39.6,19.1,41.3,927,1861,-933,62.3,14.4,23.3,2.7,7.4,59.5,57.6,65.8,18.7,5.1,46.5,2.2,34,0.1,5,6,-,6.7,66.8,77.9,17.2,24.2,0.9,2.6,17,0.9,312.5
Nigeria,Sub-Saharan Africa,95,5.073999882,0.783756256,1.215770483,0.05691573,0.394952565,0.230947196,0.026121566,WesternAfrica,923768,190886,209.6,102.7,44,4.5,2.7,0.7,494583,2.7,2714.5,20.9,20.4,58.8,104084,36533,67551,27.9,14.7,57.4,5.4,5.7,52.6,51.2,76.3,47.8,4.7,82.2,47.4,361,0.6,32,3.7,-,-,92.8,94.5,53.5,57.8,8.3,11.8,5.6,8.1,2437.5
Norway,Western Europe,1,7.537000179,1.616463184,1.53352356,0.796666503,0.635422587,0.362012237,0.315963835,NorthernEurope,386194,5305,14.5,101.8,17.8,22.3,1.2,14.2,386578,1.6,74185.5,1.8,34.6,63.5,89120,72473,16647,2.2,20.2,77.6,5.1,1.8,83.6,79.5,2.4,80.5,1.3,113.6,96.8,64,9.2,233,9.7,4.4,7.4,100.3,100.5,111.1,114.7,91.5,62.8,39.6,33.2,73.2
Pakistan,Southern Asia,80,5.269000053,0.726883531,0.67269069,0.402047783,0.235215262,0.315446019,0.124348067,SouthernAsia,796095,197016,255.6,105.6,34.8,6.7,2.1,1.9,266458,5.5,1410.4,25.5,19,55.5,20534,46998,-26464,42.1,19.8,38.1,5.9,3.7,66.8,65,69.8,38.8,2.8,66.9,18,140,0.9,17,2.6,0.8,2.6,85.2,99.7,39.2,49.5,9.2,10.6,20.6,2,2739.4
Palestinian Territories,Middle East and Northern Africa,103,4.775000095,1.009850144,1.259976387,0.625130832,0.561213255,0.490863562,0.073653966,WesternAsia,6020,4921,817.4,102.9,39.6,4.6,2.7,5.5,12677,3.5,2715.5,4.8,23.4,71.9,929,5058,-4128,8.7,29.8,61.5,24.2,4.2,74.8,71.1,20,75.3,2.8,77.6,57.4,31,0.6,15,-,-,1.3,94.3,94.4,87,79.2,54.4,34.5,-,1.5,~0.0
Panama,Latin America and Caribbean,30,6.452000141,0.716249228,1.155647159,0.565666974,0.254711062,0.114173174,0.089282602,CentralAmerica,75320,4099,55.1,100.4,27.4,11.4,1.7,4.7,52132,5.8,13268.1,2.8,27.1,70,636,11697,-11061,14.5,19.6,65.9,6.2,2.6,80.5,74.3,15.2,66.6,2.1,174.2,51.2,383,2.3,35,8,1.6,3.2,100.9,103.5,78.3,72.9,46.5,31.2,18.3,62.3,21.5
Paraguay,Latin America and Caribbean,70,5.493000031,1.233748436,1.373192549,0.706156135,0.550026834,0.210556939,0.070983924,SouthAmerica,406752,6811,17.1,102.9,29.4,9.4,1.3,2.4,27714,3.1,4174.4,19,29.5,51.6,8494,9753,-1259,19.6,19.5,61,5.5,2.6,74.9,70.7,28.8,59.7,2.1,105.4,44.4,59,0.9,38,9.8,1.3,5,104.3,107.6,79.1,74.2,-,-,13.8,39.4,0.2
Peru,Latin America and Caribbean,63,5.715000153,0.932537317,1.50728488,0.579250693,0.473507792,0.224150658,0.091065913,SouthAmerica,1285216,32166,25.1,99.8,27.4,10.4,1.3,0.3,190428,3.3,6069.1,7.6,33.3,59.2,36040,36185,-145,24.4,17.3,58.3,5.3,2.5,76.8,71.5,18.6,78.6,1.7,109.9,40.9,685,2,30,5.5,1.1,4,101.7,101.7,95.8,95.7,-,-,27.7,57.9,2.5
